url,company,price,title
http://www.helzberg.com/product/sapphire+pearl+ring+1997344.do?sortby=bestSellersAscend&page=5,helzberg,89.99,Freshwater Cultured Pearl & Lab-Created Pink Sapphire Ring in Sterling Silver
http://www.zales.com/cultured-freshwater-pearl-promise-promise-ring-10k-white-gold-diamond-accents/product.jsp?productId=4454952,zales,223.20,9.0mm Cultured Freshwater Pearl Promise Promise Ring in 10K White Gold with Diamond Accents
http://www.zales.com/cultured-freshwater-pearl-diamond-ring-sterling-silver/product.jsp?productId=32525616,zales,159.20,9.0mm Cultured Freshwater Pearl and 1/10 CT. T.W. Diamond Ring in Sterling Silver
http://www.zales.com/cultured-freshwater-pearl-ring-sterling-silver-white-topaz-accents/product.jsp?productId=4343602,zales,79.20,10.0-10.5mm Cultured Freshwater Pearl Ring in Sterling Silver with White Topaz Accents
http://www.zales.com/cultured-freshwater-pearl-diamond-accent-ring-sterling-silver/product.jsp?productId=54548006,zales,103.20,8.0 - 8.5mm Cultured Freshwater Pearl and Diamond Accent Ring in Sterling Silver
http://www.helzberg.com/product/cultured+pearl+ring+2007291.do?sortby=bestSellersAscend&page=2,helzberg,99.99,Freshwater Cultured Pearl Ring in Sterling Silver & 10K Gold
http://www.zales.com/cultured-freshwater-pearl-ring-sterling-silver-white-topaz-accents/product.jsp?productId=4343603,zales,79.20,9.0-10.0mm Cultured Freshwater Pearl Ring in Sterling Silver with White Topaz Accents
http://www.zales.com/cultured-freshwater-pearl-ring-sterling-silver/product.jsp?productId=30892426,zales,47.20,9.0 - 9.5mm Cultured Freshwater Pearl Ring in Sterling Silver
http://www.zales.com/cultured-freshwater-pearl-diamond-ring-sterling-silver/product.jsp?productId=50167856,zales,423.20,7.5mm Cultured Freshwater Pearl and 1/6 CT. T.W. Diamond Ring in Sterling Silver
http://www1.macys.com/shop/product/belle-de-mer-natural-freshwater-pearl-ring-in-14k-rose-gold-9mm?ID=1639481&CategoryID=2905&LinkType=,macys,199.00,Belle de Mer Natural Freshwater Pearl Ring in 14k Rose Gold (9mm)
http://www1.macys.com/shop/product/belle-de-mer-cultured-freshwater-pearl-ring-in-14k-gold-9mm?ID=1349562&CategoryID=2905&LinkType=,macys,199.00,Belle de Mer Cultured Freshwater Pearl Ring in 14k Gold (9mm)
http://www.zales.com/cultured-freshwater-pearl-diamond-accent-ring-sterling-silver-14k-gold/product.jsp?productId=10832068,zales,63.20,8.0mm Cultured Freshwater Pearl and Diamond Accent Ring in Sterling Silver and 14K Gold
