url,company,price,title
http://www1.macys.com/shop/product/10k-gold-oval-hoop-earrings?ID=382074&CategoryID=2904&LinkType=,macys,399.99,10k Gold Oval Hoop Earrings
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/drop-earrings--14k-yellow-gold/100063/100063.100064.100070,kay,287.20,Drop Earrings  14K Yellow Gold
http://www1.macys.com/shop/product/14k-gold-circle-braided-bracelet?ID=374234&CategoryID=2904&LinkType=,macys,199.00,14k Gold Circle Braided Bracelet
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/swirl-ring-14k-yellow-gold/100063/100063.100064.100067,kay,136.99,Swirl Ring 14K Yellow Gold
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/hoop-earrings-sterling-silver-14k-gold-rhodium-accents/100063/100063.100064.100070,kay,189.00,Hoop Earrings Sterling Silver 14K Gold/Rhodium Accents
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/dangle-earrings-14k-white-gold-392794400--1/100063/100063.100064.100070,kay,181.99,Dangle Earrings 14K White Gold
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/toe-ring-14k-yellow-gold-761887900--1/100063/100063.100064.100067,kay,46.99,Toe Ring 14K Yellow Gold
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/toe-ring-14k-white-gold/100063/100063.100064.100067,kay,75.99,Toe Ring 14K White Gold
http://www.zales.com/swirl-hoop-earrings-14k-gold/product.jsp?productId=33632416,zales,89.99,Swirl Hoop Earrings in 14K Gold
http://www.zales.com/scalloped-hoop-earrings-14k-white-gold/product.jsp?productId=33632566,zales,97.49,Scalloped Hoop Earrings in 14K White Gold
http://www.zales.com/14k-two-tone-gold-railroad-link-necklace/product.jsp?productId=13221576,zales,4499.99,"14K Two-Tone Gold Railroad Link Necklace - 20"""
http://www.zales.com/mens-fashion-link-bracelet-10k-two-tone-gold/product.jsp?productId=11791727,zales,2599.99,"Men's 10.5mm Fashion Link Bracelet in 10K Two-Tone Gold - 8.75"""
http://www.zales.com/14k-two-tone-gold-vintage-style-beaded-necklace/product.jsp?productId=15318916,zales,1799.99,14K Two-Tone Gold Vintage-Style Beaded Necklace
http://www.zales.com/14k-white-gold-fashion-diamond-cut-flashy-chain/product.jsp?productId=4077512,zales,360.00,"14K White Gold 1.4mm Fashion Diamond-Cut Flashy Chain - 18"""
http://www.zales.com/patterned-oval-hoop-earrings-14k-gold/product.jsp?productId=15505526,zales,89.99,Patterned Oval Hoop Earrings in 14K Gold
http://www.zales.com/oval-twist-hoop-earrings-14k-gold/product.jsp?productId=15505406,zales,97.49,Oval Twist Hoop Earrings in 14K Gold
url,company,price,title
http://www.zales.com/scalloped-hoop-earrings-14k-white-gold/product.jsp?productId=33632566,zales,97.49,Scalloped Hoop Earrings in 14K White Gold
http://www.zales.com/swirl-hoop-earrings-14k-gold/product.jsp?productId=33632416,zales,89.99,Swirl Hoop Earrings in 14K Gold
http://www.zales.com/14k-white-gold-fashion-diamond-cut-flashy-chain/product.jsp?productId=4077512,zales,360.00,"14K White Gold 1.4mm Fashion Diamond-Cut Flashy Chain - 18"""
http://www.zales.com/patterned-oval-hoop-earrings-14k-gold/product.jsp?productId=15505526,zales,89.99,Patterned Oval Hoop Earrings in 14K Gold
http://www.zales.com/oval-twist-hoop-earrings-14k-gold/product.jsp?productId=15505406,zales,97.49,Oval Twist Hoop Earrings in 14K Gold
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/drop-earrings--14k-yellow-gold/100063/100063.100064.100070,kay,287.20,Drop Earrings  14K Yellow Gold
http://www1.macys.com/shop/product/10k-gold-oval-hoop-earrings?ID=382074&CategoryID=2904&LinkType=,macys,399.99,10k Gold Oval Hoop Earrings
http://www.zales.com/mens-fashion-link-bracelet-10k-two-tone-gold/product.jsp?productId=11791727,zales,2599.99,"Men's 10.5mm Fashion Link Bracelet in 10K Two-Tone Gold - 8.75"""
http://www.zales.com/14k-two-tone-gold-vintage-style-beaded-necklace/product.jsp?productId=15318916,zales,1799.99,14K Two-Tone Gold Vintage-Style Beaded Necklace
http://www1.macys.com/shop/product/14k-gold-circle-braided-bracelet?ID=374234&CategoryID=2904&LinkType=,macys,199.00,14k Gold Circle Braided Bracelet
http://www.zales.com/14k-two-tone-gold-railroad-link-necklace/product.jsp?productId=13221576,zales,4499.99,"14K Two-Tone Gold Railroad Link Necklace - 20"""
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/swirl-ring-14k-yellow-gold/100063/100063.100064.100067,kay,136.99,Swirl Ring 14K Yellow Gold
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/hoop-earrings-sterling-silver-14k-gold-rhodium-accents/100063/100063.100064.100070,kay,189.00,Hoop Earrings Sterling Silver 14K Gold/Rhodium Accents
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/toe-ring-14k-white-gold/100063/100063.100064.100067,kay,75.99,Toe Ring 14K White Gold
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/toe-ring-14k-yellow-gold-761887900--1/100063/100063.100064.100067,kay,46.99,Toe Ring 14K Yellow Gold
http://www.kay.com/en/kaystore/gold--silver---other-jewelry/dangle-earrings-14k-white-gold-392794400--1/100063/100063.100064.100070,kay,181.99,Dangle Earrings 14K White Gold
